name,rubble_type,side,container,row,column,label
1_cca_bottom,cca,bottom,1,1928,7,x
1_cca_bottom,cca,bottom,1,2075,89,x
1_cca_bottom,cca,bottom,1,2026,350,x
1_cca_bottom,cca,bottom,1,1865,64,x
1_cca_bottom,cca,bottom,1,2042,381,x
1_cca_bottom,cca,bottom,1,2102,717,x
1_cca_bottom,cca,bottom,1,2020,571,x
1_cca_bottom,cca,bottom,1,1930,711,x
1_cca_bottom,cca,bottom,1,2075,581,x
1_cca_bottom,cca,bottom,1,1960,706,x
1_cca_bottom,cca,bottom,1,2050,772,x
1_cca_bottom,cca,bottom,1,1924,645,x
1_cca_bottom,cca,bottom,1,2190,1140,x
1_cca_bottom,cca,bottom,1,1968,870,cs
1_cca_bottom,cca,bottom,1,1917,640,x
1_cca_bottom,cca,bottom,1,1913,943,cs
1_cca_bottom,cca,bottom,1,2059,623,x
1_cca_bottom,cca,bottom,1,1833,810,cs
1_cca_bottom,cca,bottom,1,2129,1228,cs
1_cca_bottom,cca,bottom,1,1878,1236,cs
1_cca_bottom,cca,bottom,1,2140,1452,x
1_cca_bottom,cca,bottom,1,1946,1153,cs
1_cca_bottom,cca,bottom,1,2120,1500,cs
1_cca_bottom,cca,bottom,1,1887,1661,bs
1_cca_bottom,cca,bottom,1,1867,1607,bs
1_cca_bottom,cca,bottom,1,1982,1313,bs
1_cca_bottom,cca,bottom,1,2194,1589,x
1_cca_bottom,cca,bottom,1,2048,1649,cs
1_cca_bottom,cca,bottom,1,1921,1664,bs
1_cca_bottom,cca,bottom,1,1912,1251,cs
1_cca_bottom,cca,bottom,1,1929,1214,cs
1_cca_bottom,cca,bottom,1,1989,1226,cs
1_cca_bottom,cca,bottom,1,2132,1356,x
1_cca_bottom,cca,bottom,1,1820,1149,cs
1_cca_bottom,cca,bottom,1,2191,1291,x
1_cca_bottom,cca,bottom,1,1775,1157,cs
1_cca_bottom,cca,bottom,1,1986,1365,cs
1_cca_bottom,cca,bottom,1,1891,1372,cs
1_cca_bottom,cca,bottom,1,2018,2171,bs
1_cca_bottom,cca,bottom,1,2197,1934,x
1_cca_bottom,cca,bottom,1,2056,1803,x
1_cca_bottom,cca,bottom,1,2192,1902,x
1_cca_bottom,cca,bottom,1,2105,1837,x
1_cca_bottom,cca,bottom,1,2085,1714,os
1_cca_bottom,cca,bottom,1,2078,2123,x
1_cca_bottom,cca,bottom,1,2215,2096,x
1_cca_bottom,cca,bottom,1,1910,1843,bs
1_cca_bottom,cca,bottom,1,1968,1855,bs
1_cca_bottom,cca,bottom,1,1895,1736,bs
1_cca_bottom,cca,bottom,1,2153,2076,x
1_cca_bottom,cca,bottom,1,2061,1720,cs
1_cca_bottom,cca,bottom,1,2002,2648,cs
1_cca_bottom,cca,bottom,1,2012,2618,cs
1_cca_bottom,cca,bottom,1,1890,2661,x
1_cca_bottom,cca,bottom,1,1883,2573,cs
1_cca_bottom,cca,bottom,1,2149,2407,x
1_cca_bottom,cca,bottom,1,1835,2353,cs
1_cca_bottom,cca,bottom,1,1993,2363,cs
1_cca_bottom,cca,bottom,1,2089,2853,x
1_cca_bottom,cca,bottom,1,2033,2541,cs
1_cca_bottom,cca,bottom,1,1968,2514,cs
1_cca_bottom,cca,bottom,1,2175,2750,x
1_cca_bottom,cca,bottom,1,1844,2421,cs
1_cca_bottom,cca,bottom,1,2075,2334,os
1_cca_bottom,cca,bottom,1,2011,2819,x
1_cca_bottom,cca,bottom,1,1973,2347,cs
1_cca_bottom,cca,bottom,1,1833,2327,cs
1_cca_bottom,cca,bottom,1,2141,2836,x
1_cca_bottom,cca,bottom,1,1948,2687,x
1_cca_bottom,cca,bottom,1,2196,2442,x
1_cca_top,cca,top,1,166,74,x
1_cca_top,cca,top,1,227,45,bt
1_cca_top,cca,top,1,49,342,x
1_cca_top,cca,top,1,79,575,bt
1_cca_top,cca,top,1,182,293,ot
1_cca_top,cca,top,1,338,280,bt
1_cca_top,cca,top,1,307,354,bt
1_cca_top,cca,top,1,362,578,ct
1_cca_top,cca,top,1,218,31,bt
1_cca_top,cca,top,1,293,356,bt
1_cca_top,cca,top,1,260,461,bt
1_cca_top,cca,top,1,397,459,ot
1_cca_top,cca,top,1,136,564,ct
1_cca_top,cca,top,1,7,217,x
1_cca_top,cca,top,1,76,7,x
1_cca_top,cca,top,1,300,146,ot
1_cca_top,cca,top,1,285,527,ct
1_cca_top,cca,top,1,385,42,x
1_cca_top,cca,top,1,229,578,ct
1_cca_top,cca,top,1,140,403,ot
1_cca_top,cca,top,1,201,1093,x
1_cca_top,cca,top,1,21,1076,x
1_cca_top,cca,top,1,243,1074,x
1_cca_top,cca,top,1,96,904,x
1_cca_top,cca,top,1,101,901,x
1_cca_top,cca,top,1,258,603,ct
1_cca_top,cca,top,1,375,1165,x
1_cca_top,cca,top,1,355,948,cs
1_cca_top,cca,top,1,305,816,ct
1_cca_top,cca,top,1,99,767,cs
1_cca_top,cca,top,1,291,760,ct
1_cca_top,cca,top,1,333,765,ct
1_cca_top,cca,top,1,83,733,cs
1_cca_top,cca,top,1,144,1006,x
1_cca_top,cca,top,1,23,821,x
1_cca_top,cca,top,1,233,1144,x
1_cca_top,cca,top,1,345,1034,x
1_cca_top,cca,top,1,374,1054,x
1_cca_top,cca,top,1,7,1132,x
1_cca_top,cca,top,1,36,1016,x
1_cca_top,cca,top,1,34,970,x
1_cca_top,cca,top,1,143,898,cs
1_cca_top,cca,top,1,329,1428,x
1_cca_top,cca,top,1,316,1477,x
1_cca_top,cca,top,1,185,1598,x
1_cca_top,cca,top,1,292,1637,x
1_cca_top,cca,top,1,154,1360,x
1_cca_top,cca,top,1,162,1453,x
1_cca_top,cca,top,1,136,1339,x
1_cca_top,cca,top,1,354,1430,x
1_cca_top,cca,top,1,327,1560,x
1_cca_top,cca,top,1,33,1580,x
1_cca_top,cca,top,1,184,1310,x
1_cca_top,cca,top,1,70,1255,x
1_cca_top,cca,top,1,132,1292,x
1_cca_top,cca,top,1,112,1728,x
1_cca_top,cca,top,1,349,1384,x
1_cca_top,cca,top,1,258,1732,x
1_cca_top,cca,top,1,283,1448,x
1_cca_top,cca,top,1,59,2258,x
1_cca_top,cca,top,1,33,2228,x
1_cca_top,cca,top,1,136,2105,cs
1_cca_top,cca,top,1,63,2312,x
1_cca_top,cca,top,1,397,2009,ct
1_cca_top,cca,top,1,339,2136,ct
1_cca_top,cca,top,1,201,2112,ct
1_cca_top,cca,top,1,259,2229,ct
1_cca_top,cca,top,1,130,1770,x
1_cca_top,cca,top,1,125,2147,cs
1_cca_top,cca,top,1,77,1927,x
1_cca_top,cca,top,1,92,1843,x
1_cca_top,cca,top,1,259,1778,x
1_cca_top,cca,top,1,378,2296,ct
1_cca_top,cca,top,1,2,2003,x
1_cca_top,cca,top,1,105,2337,x
1_cca_top,cca,top,1,205,2444,cs
1_cca_top,cca,top,1,217,2902,x
1_cca_top,cca,top,1,86,2777,x
1_cca_top,cca,top,1,100,2515,x
1_cca_top,cca,top,1,179,2379,cs
1_cca_top,cca,top,1,29,2750,x
1_cca_top,cca,top,1,284,2462,ct
1_cca_top,cca,top,1,194,2642,x
1_cca_top,cca,top,1,23,2556,x
1_cca_top,cca,top,1,213,2683,x
1_cca_top,cca,top,1,26,2928,x
1_cca_top,cca,top,1,368,2405,ct
1_cca_top,cca,top,1,786,16,x
1_cca_top,cca,top,1,442,509,ot
1_cca_top,cca,top,1,489,522,ot
1_cca_top,cca,top,1,528,225,ct
1_cca_top,cca,top,1,438,297,ot
1_cca_top,cca,top,1,473,541,ot
1_cca_top,cca,top,1,707,253,ct
1_cca_top,cca,top,1,428,184,ot
1_cca_top,cca,top,1,689,446,ct
1_cca_top,cca,top,1,471,93,ot
1_cca_top,cca,top,1,521,270,ot
1_cca_top,cca,top,1,598,194,ct
1_cca_top,cca,top,1,657,500,ct
1_cca_top,cca,top,1,596,150,ct
1_cca_top,cca,top,1,607,298,ct
1_cca_top,cca,top,1,499,322,ot
1_cca_top,cca,top,1,410,434,ot
1_cca_top,cca,top,1,569,779,ct
1_cca_top,cca,top,1,487,622,ot
1_cca_top,cca,top,1,643,592,ct
1_cca_top,cca,top,1,527,878,ct
1_cca_top,cca,top,1,535,909,ct
1_cca_top,cca,top,1,578,680,ct
1_cca_top,cca,top,1,700,963,ct
1_cca_top,cca,top,1,609,1133,cs
1_cca_top,cca,top,1,785,865,ct
1_cca_top,cca,top,1,483,590,ot
1_cca_top,cca,top,1,555,1124,x
1_cca_top,cca,top,1,754,900,ct
1_cca_top,cca,top,1,625,910,ct
1_cca_top,cca,top,1,672,1079,ct
1_cca_top,cca,top,1,415,994,cs
1_cca_top,cca,top,1,653,703,ct
1_cca_top,cca,top,1,696,618,ct
1_cca_top,cca,top,1,449,1132,x
1_cca_top,cca,top,1,477,663,ot
1_cca_top,cca,top,1,563,861,ct
1_cca_top,cca,top,1,468,1361,x
1_cca_top,cca,top,1,735,1351,ct
1_cca_top,cca,top,1,567,1646,cs
1_cca_top,cca,top,1,610,1624,cs
1_cca_top,cca,top,1,705,1365,ct
1_cca_top,cca,top,1,650,1685,ct
1_cca_top,cca,top,1,723,1702,ct
1_cca_top,cca,top,1,739,1665,ct
1_cca_top,cca,top,1,642,1232,cs
1_cca_top,cca,top,1,722,1649,ct
1_cca_top,cca,top,1,660,1379,cs
1_cca_top,cca,top,1,476,1818,cs
1_cca_top,cca,top,1,574,1945,ct
1_cca_top,cca,top,1,444,1776,cs
1_cca_top,cca,top,1,613,2219,ct
1_cca_top,cca,top,1,469,2065,ct
1_cca_top,cca,top,1,450,2134,ct
1_cca_top,cca,top,1,517,2172,ct
1_cca_top,cca,top,1,618,2129,ct
1_cca_top,cca,top,1,760,1843,ct
1_cca_top,cca,top,1,707,2355,ct
1_cca_top,cca,top,1,608,2352,ct
1_cca_top,cca,top,1,726,1925,ct
1_cca_top,cca,top,1,640,2052,ct
1_cca_top,cca,top,1,709,2336,ct
1_cca_top,cca,top,1,484,2021,ct
1_cca_top,cca,top,1,581,1838,ct
1_cca_top,cca,top,1,746,1948,ct
1_cca_top,cca,top,1,606,1818,ct
1_cca_top,cca,top,1,569,1914,ct
1_cca_top,cca,top,1,702,2032,ct
